legacy_action,legacy_handler,domain,effect_class,mutability,relevant_legacy_arguments_defaults,state_files_tables_read_written,subprocess_provider_effects,exit_error_output_contract,target_peerhub_command,target_peerhub_module_symbol,disposition,implementation_status,fixture_ids,current_capture_revision,shadow_comparison_status,authority_phase,rollback_owner_path,last_verified_legacy_and_peerhub_revisions,unresolved_drift_finding_ids
directive-list,action_directive_list,host-policy,unspecified,readonly,see_global_surface,"{""reads"": [""call:read_text""], ""writes"": []}",[],unspecified,host.directive.list,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
directive-clear,action_directive_clear,host-policy,unspecified,mutable,see_global_surface,"{""reads"": [""call:read_text""], ""writes"": [""call:write_text""]}","[""process:exit""]",unspecified,host.directive.clear,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lessons-list,action_lessons_list,governance,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}",[],unspecified,governance.lesson.list,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lessons-propose,action_lessons_propose,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""state:consensus_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,governance.lesson.propose,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lessons-activate,action_lessons_activate,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.lesson.activate,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lessons-retire,action_lessons_retire,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:read_text""], ""writes"": [""call:write_text""]}","[""process:exit""]",unspecified,governance.lesson.retire,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lesson-broadcast,action_lesson_broadcast,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""state:consensus_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,coordination.lesson.broadcast,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lesson-sweep,action_lesson_sweep,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:read_text""], ""writes"": [""call:mkdir"", ""call:write_text""]}",[],unspecified,governance.lesson.sweep,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lesson-inject,action_lesson_inject,host-policy,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}",[],unspecified,host.lesson.inject,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
thread-new,action_thread_new,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}",[],unspecified,coordination.thread.create,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
thread-append,action_thread_append,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir""]}","[""process:exit""]",unspecified,coordination.thread.append,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
thread-react,action_thread_react,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,coordination.thread.react,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
thread-promote,action_thread_promote,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_append_jsonl"", ""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,coordination.thread.promote,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
alert-raise,action_alert_raise,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,coordination.alert.raise,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
proposal-add,action_proposal_add,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}",[],unspecified,governance.proposal.create,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
proposal-vote,action_proposal_vote,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.proposal.vote,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
proposal-list,action_proposal_list,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir""], ""writes"": [""call:mkdir""]}",[],unspecified,governance.proposal.list,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
broker-submit,action_broker_submit,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:read_bytes"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.mutation.submit,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
broker-drain,action_broker_drain,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_bytes"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_append_jsonl"", ""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit"", ""process:run""]",unspecified,governance.effect.drain,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
broker-status,action_broker_status,governance,unspecified,readonly,see_global_surface,"{""reads"": [], ""writes"": []}",[],unspecified,governance.mutation.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
update-signatures,action_update_signatures,diagnostic,unspecified,mutable,see_global_surface,"{""reads"": [], ""writes"": [""call:mkdir"", ""call:write_text""]}",[],unspecified,peerhub.signature.update,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
arbiter-review,run_arbiter_on_round,consensus,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:run""]",unspecified,consensus.arbiter.review,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
credit-status,action_credit_status,external-action,unspecified,mutable,see_global_surface,"{""reads"": [], ""writes"": []}","[""process:exit""]",unspecified,host.credit.status,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
credit-consume,action_credit_consume,external-action,unspecified,mutable,see_global_surface,"{""reads"": [], ""writes"": []}","[""process:exit""]",unspecified,host.credit.consume,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
